rank,artist_names,track_name,source,peak_rank,popularity_float,days_on_chart,daysonchart_float,streams,streams_float,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_genre,date
196,Ado,会いたくて,Universal Music LLC,84,173,75,0.8,26518,0.03,0.5,0.832,5,-2.127,1,0.0411,0.0954,0.0,0.363,0.374,159.956,295147,4,"j-pop, japanese teen pop",2022-01-28
179,Hikaru Utada,PINK BLOOD,Sony Music Labels Inc.,52,144,42,0.4,29059,0.03,0.7,0.534,6,-7.286,1,0.0893,0.277,3.57E-05,0.171,0.617,100.0,197362,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-01-27
198,Creep Hyp,ナイトオンザプラネット,Universal Music LLC,121,-1,65,0.7,27538,0.03,0.7,0.578,4,-7.799,1,0.0374,0.361,0.000673,0.0899,0.659,176.09,269667,4,"j-pop, j-rock",2022-01-27
161,"Hikaru Utada, Skrillex",Face My Fears (Japanese Version),Sony Music Labels Inc.,18,117,57,0.6,30818,0.03,0.5,0.766,1,-5.94,0,0.15,0.0136,0.0,0.149,0.357,159.847,218215,3,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-01-26
179,Hikaru Utada,Time,Sony Music Labels Inc.,19,119,130,1.3,29747,0.03,0.5,0.478,5,-8.884,1,0.111,0.0601,7.16E-06,0.0813,0.117,100.04,298252,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-01-26
163,Hikaru Utada,気分じゃないの (Not In The Mood),Sony Music Labels Inc.,97,-1,4,0.0,30685,0.03,0.5,0.596,5,-7.646,0,0.0387,0.151,0.0385,0.583,0.307,152.116,448104,4,"anime, classic j-pop, j-pop, japanese singer-songwriter",2022-01-25
182,HIRAIDAI,愛しき日々の真ん中で,avex trax,68,176,70,0.7,28715,0.03,0.4,0.421,1,-6.088,1,0.037,0.151,0.0,0.0846,0.332,155.064,202049,4,"j-pop, japanese singer-songwriter, japanese teen pop",2022-01-24
172,Ryokuoushoku Shakai,Landscape,Sony Music Labels Inc.,103,149,21,0.2,30749,0.03,0.7,0.951,1,-0.997,1,0.054,0.05,0.0,0.288,0.799,130.011,231840,4,j-pop,2022-01-23
182,Macaroni Empitsu,好きだった (はずだった),Toys Factory,146,178,7,0.1,29260,0.03,0.6,0.745,1,-4.415,1,0.031,0.194,0.0,0.146,0.582,92.019,215485,4,"anime, j-pop, japanese alternative rock, japanese teen pop",2022-01-23
197,ARASHI,カイト,J Storm Inc.,54,194,317,3.2,28482,0.03,0.5,0.477,1,-6.458,1,0.0305,0.666,0.0,0.734,0.558,177.882,283400,4,j-pop,2022-01-23
